Port Logger Log: Unix time: 1305409181.15
Ports in use: /dev/pts/4 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: Logging virtual pipeline in off mode through a null modem cable at 9600 baud. This log uses the new timestamp location and 6-decimal format.
1305409226.740061 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409226.750564 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409226.930616 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409226.939977 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409227.172044 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409227.179954 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409227.356008 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409227.363995 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409227.596001 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409227.604306 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409227.780482 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409227.787963 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409228.020039 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409228.028170 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409228.207964 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409228.216515 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409228.447986 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409228.455995 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409228.631979 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409228.639977 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409228.872030 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409228.879964 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409229.056484 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409229.064035 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409229.295996 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409229.306515 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409229.483994 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409229.492000 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409229.724017 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409229.734591 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409229.912011 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409229.919971 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409230.152015 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409230.162468 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409230.339994 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409230.347961 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409230.580493 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409230.590997 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409230.767994 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409230.778315 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409231.011806 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409231.019966 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409231.195989 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409231.203970 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409231.436038 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409231.444087 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409231.620514 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409231.628482 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409231.860013 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409231.867985 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409232.044494 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409232.051956 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409232.283977 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409232.291957 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409232.468507 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305409232.475948 : /dev/pts/4 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305409232.708009 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305409232.718509 : /dev/pts/4 : 01.10.a8.2a.00.12.41.ac
1305409232.895987 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
