Port Logger Log: Unix time: 1305343083.88
Ports in use: /dev/pts/7 /dev/ttyUSB2
Format : <Timestamp (Unix time)> : <port file name> : <packet> 
Comments: This trace was taken of the virtual pipeline system in 'off' mode with comms running through a serialport null modem cable. USB2 is the master, pty is slave
1305343101.41 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343101.42 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343101.6 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343101.6 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343101.69 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343101.7 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343101.87 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343101.88 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343101.96 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343101.97 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343102.15 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343102.16 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343102.24 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343102.25 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343102.43 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343102.44 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
1305343102.52 : /dev/ttyUSB2 : 01.10.a8.2a.00.12.24.00.00.00.00.00.00.00.00.00.00.00.00.41.20.00.00.42.e6.00.00.3e.4c.cc.cd.00.00.00.00.3f.00.00.00.3f.80.00.00.41.50
1305343102.53 : /dev/pts/7 : 01.10.a8.2a.00.12.41.ac
1305343102.71 : /dev/ttyUSB2 : 01.03.a7.f8.00.09.27.49
1305343102.72 : /dev/pts/7 : 01.03.12.00.00.00.00.0c.3b.00.00.00.00.00.00.00.00.00.00.00.00.a5.f5
