Port Logger Log: Unix time: 1306786276.58
Ports in use: /dev/pts/3 /dev/ttyUSB0
Format : <Timestamp (Unix time)> : <port file name> : <packet> 

1306786319.562967 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786319.572138 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786320.075727 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786320.104816 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a5.00.00.00.00.00.00.00.00.41.20.ff.47.30.48
1306786320.712158 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786320.722713 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786321.227668 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786321.259627 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a6.00.00.00.00.00.00.00.00.41.20.43.e4.05.32
1306786321.979689 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786321.987646 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
1306786322.539657 : /dev/ttyUSB0 : 04.03.0b.b7.00.09.37.9b
1306786322.580279 : /dev/pts/3 : 04.03.12.00.00.00.00.0f.a1.00.00.00.00.00.00.00.00.41.20.33.fe.aa.7e
1306786323.171684 : /dev/ttyUSB0 : 04.10.0b.e9.00.12.24.00.01.00.02.00.00.00.01.00.00.00.00.41.20.00.00.73.00.00.00.3e.4c.cc.cd.00.00.00.00.3d.cc.cc.cd.3f.80.00.00.31.b7
1306786323.182167 : /dev/pts/3 : 04.10.0b.e9.00.12.93.81
